,id,point,crowded_ratio,number_of_people,timestamp,location_group,stamp_timezone,id.1,ip_address,key,datapoint_id,latitude,longitude,geohash
17,210,0101000020E6100000280010C1821F49401A57B7D507992C40,2,3,1585300679.322,shop,Europe/Prague,210,f34504fc582463b791fde3593d5810c58169964f72370ba6c8d5423aac560513,HWFCUZMLG3UVFLAP6XW537Y0OC4DQ41FA4866ZN2,210,50.2461778,14.2988879,u2fjv7
116,28,0101000020E610000043E4F4F57C1F494060B1E1444F992C40,1,1,1585033672.398,shop,Europe/Prague,28,ee506e8856b4a8c56790d179a02e6e58e520f9ac6a4dc7729fa025614a8ec1dd,BVCGHULTVPL5BWUQ0913BDBXBQB541AOV3OAJX3J,28,50.246001,14.2994329,u2fjv7
133,45,0101000020E6100000506D1569871F4940C08D39741F992C40,2,2,1585055053.746,shop,Europe/Prague,45,4b6c3226525baba12ba18e9a138cc2abbc4a6609484c8835ad69814ebf7a2a74,FTUAEWKYUA8CQPMVQL3JM7K4S6V1LI4S5Y6YPHNI,45,50.2463199,14.2990681,u2fjv7
157,69,0101000020E6100000D28A6F287C1F4940ED0676A15E992C40,1,1,1585114201.946,playground,Europe/Prague,69,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,TVIQXCFJY14Q6316L54VNPMUUEEP91LQ0YSWH4NU,69,50.2459765,14.2995501,u2fjv7
158,70,0101000020E6100000076D286B8A1F49406E84EA8B29992C40,1,1,1585114220.516,playground,Europe/Prague,70,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,TVIQXCFJY14Q6316L54VNPMUUEEP91LQ0YSWH4NU,70,50.2464117,14.2991451,u2fjv7
191,106,0101000020E6100000A07E6143811F494079DD6CBDF0982C40,1,0,1585158873.417,shop,Europe/Prague,106,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,XGLTDIWNJ33QEM1Y4GSLJ5A42ZDUCK3PVHCD901J,106,50.2461323,14.2987117,u2fjv7
272,281,0101000020E6100000A9E628F6861F4940AC04E67C0C992C40,1,0,1585374607.641,shop,Europe/Prague,281,a9dd75e88b0f6c3a3004cf1a6845ee592a0447e2871c0aad9d3fa9a0815ae095,CIWUNPOYTZPOB2VX1UURMQ34NN3MUBLT5RI8K16W,281,50.2463062,14.2989234,u2fjv7
321,330,0101000020E61000000A850838841F4940CAD9E0E93A992C40,2,1,1585401047.495,playground,Europe/Prague,330,a9dd75e88b0f6c3a3004cf1a6845ee592a0447e2871c0aad9d3fa9a0815ae095,UMQAYVWJU8WBQO31A5W011Y7LASHP43BQKYVGW93,330,50.2462225,14.2992776,u2fjv7
351,360,0101000020E61000006039E74C7F1F4940670C738236992C40,1,0,1585453471.698,shop,Europe/Prague,360,55217f9c905353cbd2f4e9284623b35afc7cbd98bf060e49721806740c894800,LIFVKPWXZLO8NL9I1FQPH0E4NT0T8U35QYNO5B4I,360,50.2460724,14.299244,u2fjv7
401,410,0101000020E6100000D2CCEE247D1F4940D57F31B66B992C40,3,0,1585495960.428,playground,Europe/Prague,410,55217f9c905353cbd2f4e9284623b35afc7cbd98bf060e49721806740c894800,WSVZURIA55JEP1JL3649CFBOI413QLPIKUHH9P2F,410,50.2460066,14.2996499,u2fjv7
