,id,point,crowded_ratio,number_of_people,timestamp,location_group,stamp_timezone,id.1,ip_address,key,datapoint_id,latitude,longitude,geohash
118,30,0101000020E61000005F7D3CF4DD1E4940E2299ABD229E2C40,4,40,1585034202.915,shop,Europe/Prague,30,ee506e8856b4a8c56790d179a02e6e58e520f9ac6a4dc7729fa025614a8ec1dd,KSROMIEZF4IT3FLC4VPQQHUBYL1RRES4A5XNPXOV,30,50.2411485,14.3088588,u2fjvd
150,62,0101000020E6100000CFE1B5A6D41E4940596E6935249E2C40,2,7,1585112311.54,shop,Europe/Prague,62,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,TVIQXCFJY14Q6316L54VNPMUUEEP91LQ0YSWH4NU,62,50.2408646,14.30887,u2fjvd
192,107,0101000020E61000004F0A4ED8D91E4940BF709D352E9E2C40,2,10,1585159259.652,shop,Europe/Prague,107,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,XGLTDIWNJ33QEM1Y4GSLJ5A42ZDUCK3PVHCD901J,107,50.2410231,14.3089463,u2fjvd
213,128,0101000020E61000008824C4A6DF1E494063586A62269E2C40,4,45,1585216197.089,playground,Europe/Prague,128,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,WOGTPXZUCI2FO8LU1TDN7M1QSL7U51P413GRMWX6,128,50.2412003,14.3088866,u2fjvd
214,129,0101000020E6100000E22D4613DE1E49409AB0A2AB199E2C40,4,50,1585216205.581,shop,Europe/Prague,129,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,AVCHMNLBP5LD967UMQH3Q4UMLCW3K1H0QGYWP25F,129,50.2411522,14.3087896,u2fjvd
276,285,0101000020E6100000DF09ACD2CC1E49403B90508E5D9D2C40,2,15,1585374912.48,shop,Europe/Prague,285,a9dd75e88b0f6c3a3004cf1a6845ee592a0447e2871c0aad9d3fa9a0815ae095,CIWUNPOYTZPOB2VX1UURMQ34NN3MUBLT5RI8K16W,285,50.2406257,14.3073544,u2fjvd
357,366,0101000020E61000002950D54EDE1E4940ED3E6C8E189E2C40,2,12,1585455869.617,shop,Europe/Prague,366,55217f9c905353cbd2f4e9284623b35afc7cbd98bf060e49721806740c894800,SDEQOUJFC5N1L5BUW3B7D4Q2U6PP4STGNB352TMJ,366,50.2411593,14.3087811,u2fjvd
358,367,0101000020E6100000A09971642F1F494070896D9C5E9F2C40,2,0,1585456071.542,park,Europe/Prague,367,55217f9c905353cbd2f4e9284623b35afc7cbd98bf060e49721806740c894800,SDEQOUJFC5N1L5BUW3B7D4Q2U6PP4STGNB352TMJ,367,50.2436338,14.3112687,u2fjvd
435,444,0101000020E610000034F21E0CE11E4940153B1A87FA9D2C40,4,35,1585558792.056,shop,Europe/Prague,444,fcfc383fc1f015392ce128d1cd7191c99df9bb1f02cfe05bd976b241420c5d77,TSHKQPFXMWDJB3CL9ZU53X54QZ1P5IU5FMW6REHJ,444,50.2412429,14.308552,u2fjvd
436,445,0101000020E6100000E5F27A8BE21E49405DDCEB49059E2C40,4,0,1585559000.01,shop,Europe/Prague,445,fcfc383fc1f015392ce128d1cd7191c99df9bb1f02cfe05bd976b241420c5d77,TSHKQPFXMWDJB3CL9ZU53X54QZ1P5IU5FMW6REHJ,445,50.2412886,14.3086341,u2fjvd
437,446,0101000020E61000002E1F49490F1F4940E5B8533A589F2C40,4,0,1585559238.671,park,Europe/Prague,446,fcfc383fc1f015392ce128d1cd7191c99df9bb1f02cfe05bd976b241420c5d77,TSHKQPFXMWDJB3CL9ZU53X54QZ1P5IU5FMW6REHJ,446,50.242654,14.31122,u2fjvd
