,id,point,crowded_ratio,number_of_people,timestamp,location_group,stamp_timezone,id.1,ip_address,key,datapoint_id,latitude,longitude,geohash
3,168,0101000020E6100000F855B950F91F4940BBA3B55840A32C40,3,20,1585238720.652,shop,Europe/Prague,168,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,JTCGNLOWTXLHDFU15P24XQ3VH9L1GY5L4P2APUGJ,168,50.249796,14.3188503,u2fjvg
119,31,0101000020E61000009ACFB9DBF51F49402CB1D76086A32C40,4,35,1585034460.72,shop,Europe/Prague,31,ee506e8856b4a8c56790d179a02e6e58e520f9ac6a4dc7729fa025614a8ec1dd,KSROMIEZF4IT3FLC4VPQQHUBYL1RRES4A5XNPXOV,31,50.2496905,14.3193846,u2fjvg
135,47,0101000020E61000003A933655F71F4940604BD93395A32C40,3,25,1585056556.614,shop,Europe/Prague,47,4b6c3226525baba12ba18e9a138cc2abbc4a6609484c8835ad69814ebf7a2a74,WRYUZMDVB8O3IUETEPS648ZL512FU5P5LQVMPG4X,47,50.2497355,14.3194977,u2fjvg
153,65,0101000020E610000015DFF53EFA1F494094DDCCE847A32C40,3,20,1585113232.109,pharmacy,Europe/Prague,65,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,TVIQXCFJY14Q6316L54VNPMUUEEP91LQ0YSWH4NU,65,50.2498244,14.318908,u2fjvg
215,130,0101000020E6100000B5711F14EF1F494086DFF2FD79A32C40,3,35,1585216458.894,shop,Europe/Prague,130,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,AVCHMNLBP5LD967UMQH3Q4UMLCW3K1H0QGYWP25F,130,50.2494836,14.3192901,u2fjvg
318,327,0101000020E6100000C56E449CF31F494044EC5DCD4BA32C40,5,60,1585400447.376,shop,Europe/Prague,327,a9dd75e88b0f6c3a3004cf1a6845ee592a0447e2871c0aad9d3fa9a0815ae095,UMQAYVWJU8WBQO31A5W011Y7LASHP43BQKYVGW93,327,50.2496219,14.3189377,u2fjvg
352,361,0101000020E61000001585025BCA1F494064B72AE4A5A22C40,2,20,1585453736.372,shop,Europe/Prague,361,55217f9c905353cbd2f4e9284623b35afc7cbd98bf060e49721806740c894800,LIFVKPWXZLO8NL9I1FQPH0E4NT0T8U35QYNO5B4I,361,50.2483629,14.3176719,u2fjvg
353,362,0101000020E6100000F3D5445502204940571B086E49A32C40,2,10,1585453836.63,shop,Europe/Prague,362,55217f9c905353cbd2f4e9284623b35afc7cbd98bf060e49721806740c894800,LIFVKPWXZLO8NL9I1FQPH0E4NT0T8U35QYNO5B4I,362,50.2500712,14.3189196,u2fjvg
394,403,0101000020E61000001122742BDF1F4940ECBC32141CA32C40,5,2,1585494190.713,shop,Europe/Prague,403,55217f9c905353cbd2f4e9284623b35afc7cbd98bf060e49721806740c894800,WSVZURIA55JEP1JL3649CFBOI413QLPIKUHH9P2F,403,50.2489981,14.3185736,u2fjvg
432,441,0101000020E61000001F251BB4FC1F4940ADBEBA2A50A32C40,2,35,1585557613.604,shop,Europe/Prague,441,fcfc383fc1f015392ce128d1cd7191c99df9bb1f02cfe05bd976b241420c5d77,TSHKQPFXMWDJB3CL9ZU53X54QZ1P5IU5FMW6REHJ,441,50.2498994,14.318971,u2fjvg
