,id,point,crowded_ratio,number_of_people,timestamp,location_group,stamp_timezone,id.1,ip_address,key,datapoint_id,latitude,longitude,geohash
4,171,0101000020E61000008A50B69267204940FD497CEE04A32C40,4,80,1585239556.828,shop,Europe/Prague,171,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,JTCGNLOWTXLHDFU15P24XQ3VH9L1GY5L4P2APUGJ,171,50.2531608,14.318397,u2fjvu
57,169,0101000020E6100000F8B6AA36492049406C2002B3E7A32C40,4,80,1585238851.94,shop,Europe/Prague,169,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,JTCGNLOWTXLHDFU15P24XQ3VH9L1GY5L4P2APUGJ,169,50.2522343,14.3201271,u2fjvu
120,32,0101000020E61000002D8837216320494053A5773B0CA32C40,4,70,1585034743.188,shop,Europe/Prague,32,ee506e8856b4a8c56790d179a02e6e58e520f9ac6a4dc7729fa025614a8ec1dd,KSROMIEZF4IT3FLC4VPQQHUBYL1RRES4A5XNPXOV,32,50.2530252,14.3184527,u2fjvu
121,33,0101000020E61000005DAA2DD049204940E57CB1F7E2A32C40,4,60,1585034859.019,shop,Europe/Prague,33,ee506e8856b4a8c56790d179a02e6e58e520f9ac6a4dc7729fa025614a8ec1dd,KSROMIEZF4IT3FLC4VPQQHUBYL1RRES4A5XNPXOV,33,50.2522526,14.320091,u2fjvu
136,48,0101000020E61000001805662A69204940AA5A1CDF28A32C40,3,65,1585056902.313,shop,Europe/Prague,48,4b6c3226525baba12ba18e9a138cc2abbc4a6609484c8835ad69814ebf7a2a74,WRYUZMDVB8O3IUETEPS648ZL512FU5P5LQVMPG4X,48,50.2532094,14.3186712,u2fjvu
137,49,0101000020E6100000FAA875D146204940859675FF58A42C40,4,80,1585057081.036,shop,Europe/Prague,49,4b6c3226525baba12ba18e9a138cc2abbc4a6609484c8835ad69814ebf7a2a74,WRYUZMDVB8O3IUETEPS648ZL512FU5P5LQVMPG4X,49,50.2521612,14.3209915,u2fjvu
152,64,0101000020E6100000D2A68F656620494088DDD2C501A32C40,2,40,1585113061.208,pharmacy,Europe/Prague,64,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,TVIQXCFJY14Q6316L54VNPMUUEEP91LQ0YSWH4NU,64,50.2531249,14.3183729,u2fjvu
154,66,0101000020E610000053C664164620494094DBF63DEAA32C40,3,50,1585113496.132,shop,Europe/Prague,66,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,TVIQXCFJY14Q6316L54VNPMUUEEP91LQ0YSWH4NU,66,50.2521389,14.3201465,u2fjvu
193,108,0101000020E6100000DB13C9FC48204940A37F38FEFAA32C40,2,15,1585159528.107,shop,Europe/Prague,108,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,XGLTDIWNJ33QEM1Y4GSLJ5A42ZDUCK3PVHCD901J,108,50.2522274,14.3202743,u2fjvu
194,109,0101000020E610000003F51C4762204940352B36412FA32C40,1,15,1585160359.236,shop,Europe/Prague,109,7612df607cef7dc4c7230d0735b48ee6ced02afab1180caac3816e397ee3a77d,ZXTBIWGE9UVY5N3WQD8OTKVX7SBLP841TPFJ1QE5,109,50.2529992,14.3187199,u2fjvu
